name,city,state,address,pincode,lat,lng,url,description,categories,tags
British Council Library,Hyderabad,Telangana,"SL Jubilee, Road No 36, Jubilee Hills, Hyderabad",500033,17.4292,78.41,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Pune,Maharashtra,"Ramsukh House, Ganeshkhind Road, Narveer Tanaji Wadi, Pune",411005,18.53,73.8516,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
FABLAB Kerala — Trivandrum,Thiruvananthapuram,Kerala,"Kerala Startup Mission, Ground Floor, IIITM-K Building, Technopark Campus, Trivandrum, Karyavattom",695581,8.5566,76.882,https://fablabkerala.in,"Public-facing fabrication lab created with Kerala Startup Mission to support entrepreneurship, learning, and innovation.","Makerspace, Innovation, Education","fablab, government"
FabLab Trichy,Tiruchirappalli,Tamil Nadu,"Government College of Engineering, Sethurappatti, Srirangam, Trichy, Sethurapatti",620012,10.6785,78.5996,https://forgeforward.in,"Fabrication lab and community innovation hub with workshops, training, and collaborative projects.","Makerspace, Education",fablab
FabLab Nellai,Tirunelveli,Tamil Nadu,"Government College of Engineering, Trivandrum Road, Marshal Nagar, Tirunelveli",627007,8.6861,77.7258,https://forgeforward.in,"Community innovation lab for hands-on learning, prototyping, and local maker activity.","Makerspace, Education",fablab
FabLab Noida,Noida,Uttar Pradesh,"C-56/47, Sector 62, Industrial Area, Noida",201307,28.6154,77.3623,https://fablabs.io/labs/rentechnologies01,Digital fabrication lab aimed at engineering students and community innovation in NCR.,"Makerspace, Education",fablab
FabLab Mohali,Mohali,Punjab,New Chandigarh,140901,30.8088,76.7264,https://fablabs.io/labs/mohali,Part of the Fab Lab Chandigarh network; focused on hardware development and startup prototyping.,"Makerspace, Innovation",fablab
Fab Lab Chandigarh,Chandigarh,Chandigarh,,,30.7333,76.7794,https://fablabs.io/labs/fablabchandigarh,Fab lab intended to expand access to digital-fabrication technologies across the northern region.,"Makerspace, Education",fablab
FabLab Nagpur,Nagpur,Maharashtra,"36, Atrey Layout, Pratap Nagar, Nagpur",440022,21.1149,79.0605,https://fablabnagpur.com,Community digital fabrication lab and coworking-style maker environment open to varied age groups.,"Makerspace, Community","fablab, coworking"
FabLab Narmadalaya,Kasrawad,Madhya Pradesh,"Vivekananda Institute of Rural Technology, Lepa Punarvas, Kasrawad, Khargone",451228,22.1209,75.6111,https://narmadalaya.org,"Rural fablab for tribal youth, local artisans, makers, and village-level problem solving.","Makerspace, Education, Community","fablab, rural, craft"
Makerspace@CMRIT,Bengaluru,Karnataka,"CMR Institute of Technology, 132 AECS Layout, ITPL Main Road, Kundalahalli, Brookefield, Bengaluru",560037,12.9676,77.7141,https://cmrit.ac.in/makerspace,"Large college-hosted makerspace with 3D printing, CNC, electronics, talks, hackathons, and makeathons.","Makerspace, Education",youth
Fab Lab — AIC ADT Baramati Foundation,Baramati,Maharashtra,"Post Box No. 35, Malegaon Colony, Sharadanagar, Baramati, Pune district",413115,18.1792,74.6078,https://aicadtbaramatifoundation.org/fablab,Public/open-access digital fabrication workshop welcoming everyone from children to entrepreneurs.,"Makerspace, Innovation, Education","fablab, children"
Arthshila Delhi,New Delhi,Delhi,"B-19/1, Pocket B, Okhla Phase II, Okhla Industrial Estate, New Delhi",110020,28.5357,77.2761,https://arthshila.org,"Multi-arts centre with galleries, auditorium, terrace, pop-up areas, and community programming across art, architecture, design, and craft.","Arts, Culture, Community",craft
Triveni Kala Sangam,New Delhi,Delhi,"Mandi House, Mahatma Jyoti Rao Phule Marg Area, New Delhi",110001,28.6248,77.2323,https://trivenikalasangam.org,"Art institution with galleries, theatre, and open cultural programming.","Arts, Culture, Education",
KNMA Saket,New Delhi,Delhi,"Saket, New Delhi",,28.5221,77.2102,https://knma.in,"Contemporary art museum with exhibitions, lectures, and education programmes.","Arts, Culture","knma, free-entry"
KNMA Noida,Noida,Uttar Pradesh,"Sector 126, Noida",201313,28.5389,77.3396,https://knma.in,Second KNMA location hosting exhibitions and public events.,"Arts, Culture","knma, free-entry"
Niv Art Centre,New Delhi,Delhi,"Neb Sarai, Sainik Farm, New Delhi",,28.505,77.2089,https://nivartcentre.com,Private art foundation and gallery space hosting exhibitions and residencies.,"Arts, Community",residency
India Islamic Cultural Centre,New Delhi,Delhi,"Lodhi Road area, New Delhi",,28.5911,77.228,,"Cultural venue hosting talks, seminars, and exhibitions.","Culture, Community",
Raza Foundation Space,New Delhi,Delhi,New Delhi,,28.6139,77.2088,https://razafoundation.org,"Foundation promoting arts, lectures, and literary dialogues.","Arts, Culture",literature
Bikaner House Cultural Centre,New Delhi,Delhi,"Pandara Road, India Gate, New Delhi",110003,28.606,77.2307,https://delhitourism.gov.in,"Heritage building used for exhibitions, food festivals, and arts programming.","Culture, Arts","heritage-building, government"
Travancore House Cultural Venue,New Delhi,Delhi,"Kasturba Gandhi Marg, New Delhi",110001,28.6229,77.2254,https://delhitourism.gov.in,Heritage cultural venue hosting exhibitions and cultural events.,Culture,"heritage-building, government"
Studio Safdar,New Delhi,Delhi,"Shadi Khampur, Shadipur, New Delhi",,28.651,77.1562,https://studiosafdar.com,Independent art and theatre space supporting political and experimental performance.,"Performing Arts, Arts, Community",social-justice
IGNCA,New Delhi,Delhi,"Janpath, Connaught Place, New Delhi",110001,28.6278,77.219,https://ignca.gov.in,"Indira Gandhi National Centre for the Arts — national cultural research centre with exhibitions, lectures, and performances.","Culture, Arts",government
Gandhi Smriti Cultural Programmes,New Delhi,Delhi,"Tees January Marg, New Delhi",110011,28.6024,77.2145,https://gandhismriti.gov.in,"Museum with workshops, dialogues, and cultural events.","Culture, Education","government, heritage-building"
National Crafts Museum & Hastkala Academy,New Delhi,Delhi,"Pragati Maidan, New Delhi",,28.6126,77.2434,https://ncraftsmuseum.nic.in,"Museum and craft hub with exhibitions, workshops, and festivals.","Culture, Arts","government, craft"
Rabindranath Tagore Centre (ICCR),Kolkata,West Bengal,"9A, Ho Chi Minh Sarani, Kankaria Estates, Kolkata",700071,22.5474,88.3517,https://iccr.gov.in,"ICCR's flagship cultural centre in Kolkata with galleries, auditorium, seminar rooms, cultural events, workshops, and theatre.","Culture, Performing Arts","iccr, government"
ICCR Ahmedabad Regional Centre,Ahmedabad,Gujarat,"Beside PhD Facilitation Centre, Above University Canteen, Gujarat University Campus, Navrangpura, Ahmedabad",380009,23.0372,72.5466,https://iccr.gov.in,ICCR sub-zonal cultural centre supporting cultural programming and exchange in Ahmedabad and Gujarat.,"Culture, Community","iccr, government"
ICCR Guwahati at Shilpgram,Guwahati,Assam,"Annexure Pavilion, Shilpgram, Panjabari Road, Khanapara, Guwahati",781037,26.1333,91.8212,https://iccr.gov.in,"Cultural office embedded in the Shilpgram complex, with regular support for cultural organisations and monthly Horizon programmes.","Culture, Community","iccr, government"
ICCR Shillong at Brookside Cottage,Shillong,Meghalaya,"Brookside Cottage, New Assembly Compound, Laitumkhrah, Shillong",793004,25.5663,91.9008,https://iccr.gov.in,"Cultural centre in Brookside Cottage, active in promoting folk festivals, local music and dance, and wider Northeast cultural programming.","Culture, Community, Performing Arts","iccr, government"
ICCR Pune Regional Centre,Pune,Maharashtra,"Savitribai Phule University, Ganeshkhind, Pune",411007,18.553,73.8265,https://iccr.gov.in,"Public-facing ICCR regional centre coordinating exhibitions, seminars, performances, and collaborations with local cultural organisations.","Culture, Community","iccr, government"
ICCR Mumbai Regional Centre,Mumbai,Maharashtra,"Videsh Bhavan, Plot No. C-45, Block G, Bandra-Kurla Complex, Bandra East, Mumbai",400051,19.0632,72.8692,https://iccr.gov.in,"Mumbai ICCR regional centre coordinating exhibitions, cultural presentations, and exchange programmes.","Culture, Community","iccr, government"
ICCR Patna Regional Centre,Patna,Bihar,"67-68/40, Officers Flat, Nehru Path, Opp. Suchna Bhavan, Rajbansi Nagar, Patna",800001,25.6071,85.1084,https://iccr.gov.in,"Regional cultural centre coordinating exhibitions, seminars, and cultural delegations in Bihar and Jharkhand.","Culture, Community","iccr, government"
ICCR Bengaluru Regional Centre,Bengaluru,Karnataka,"Ground Floor, Regional Passport Office, 8th Block, 80 Feet Road, Koramangala, Bengaluru",560095,12.946,77.6191,https://iccr.gov.in,Regional cultural centre running recurring artist-platform programmes such as EFCEP and Horizon.,"Culture, Performing Arts, Community","iccr, government"
"Kolkata International Foundation for Arts, Literature & Culture",Kolkata,West Bengal,"Raja Basanta Roy Road, Kolkata",,22.5139,88.3531,https://kolkatainternationalfoundation.org,"Culture foundation operating a space with gallery, book corner, and space for seminars, readings, film shows, and creative activities.","Culture, Arts, Community","literature, film"
Nita Mukesh Ambani Cultural Centre,Mumbai,Maharashtra,"G Block, Bandra Kurla Complex, Mumbai",400098,19.0685,72.8703,https://nmacc.com,"Large multidisciplinary cultural centre with performing arts, visual arts, public art, and public-facing spaces including the Art House, Dhirubhai Ambani Square, and The Cube experimental performance venue.","Culture, Arts, Performing Arts",
Nehru Centre,Mumbai,Maharashtra,"Dr Annie Besant Road, Worli, Mumbai",400018,18.9991,72.8173,https://nehrucentremumbai.in,"Major cultural centre with art gallery, library, exposition galleries, exhibitions, and a culture wing promoting music, dance, drama, and lectures.","Culture, Arts, Library",government
Harkat Studios,Mumbai,Maharashtra,"Bungalow No. 17, Aram Nagar II, Off JP Road, Versova, Andheri West, Mumbai",400061,19.1275,72.816,https://harkat.in,"Alternative arts and performance space hosting film, theatre, music, movement, and experimental community programming.","Performing Arts, Arts, Community",film
3 Art House,Mumbai,Maharashtra,"Unit 1, Mohini Heights, 5th Road, Govind Dham, Khar West, Ram Krishna Nagar, Mumbai",400052,19.0665,72.8382,https://3arthouse.com,"Collaborative gallery-stage-living-room style cultural space for events, workshops, mural activities, and emerging artistic voices.","Arts, Culture, Community",
The Guild Art Gallery,Mumbai,Maharashtra,"Colaba, Mumbai",,18.9067,72.8147,https://guildindia.com,Contemporary art gallery that hosts exhibitions and discussions.,"Arts, Culture",
Bhau Daji Lad Museum,Mumbai,Maharashtra,"Byculla East, Mumbai",,18.9822,72.8383,https://bdlamuseum.org,"Museum with active workshops, festivals, and community heritage programmes.","Culture, Education","heritage-building, government"
Prithvi House / Prithvi Theatre,Mumbai,Maharashtra,"Juhu, Mumbai",,19.1048,72.8267,https://prithvitheatre.org,"Historic theatre hub with festivals, cafés, workshops, and public programming.","Performing Arts, Culture, Community",cafe
G5A Warehouse,Mumbai,Maharashtra,"Mahalaxmi, Mahalakshmi, Mumbai",,18.9865,72.8183,https://g5afoundation.org,Contemporary performance and arts space focused on experimental theatre and dance.,"Performing Arts, Community",
Sabha,Bengaluru,Karnataka,Bengaluru,,12.9629,77.5775,https://sabhablr.in,"Inclusive public cultural space in a restored heritage building, designed for art, craft, culture, creative voices, and community reflection.","Culture, Arts, Community","heritage-building, craft"
Agamashaala,Bengaluru,Karnataka,"Yelahanka New Town, Bengaluru",,13.1042,77.5713,https://agamashaala.mobirisesite.com,"Community-oriented creative hub positioning itself as a sanctuary for artists and curious learners through workshops, events, and gatherings.","Arts, Community, Education",
Jaipur Center of Culture and Arts,Jaipur,Rajasthan,"872, Gautam Marg, Rani Sati Nagar, Nirman Nagar, Brijlalpura, Jaipur",302019,26.884,75.7422,https://jccaindia.com,"Four-storey cultural centre created to support art engagement, exhibitions, workshops, and public cultural participation.","Arts, Culture, Community",
Jaipur Centre for Art,Jaipur,Rajasthan,"Gate No. 1, City Palace, Tripolia Bazar, Jaipur",302002,26.9256,75.819,https://jaipurcentreforart.com,Contemporary art space in the City Palace precinct with platform programming for exhibitions and cross-disciplinary dialogue.,"Arts, Culture",heritage-building
Jawahar Kala Kendra,Jaipur,Rajasthan,"Jawahar Lal Nehru Marg, Jaipur",,26.8757,75.8103,https://jkk.artandculture.rajasthan.gov.in,"Major cultural complex with theatres, galleries, and public arts events.","Culture, Arts, Performing Arts","government, outdoor-venue"
Ravindra Manch,Jaipur,Rajasthan,"Ram Niwas Garden, Kailash Puri, Adarsh Nagar, Jaipur",,26.9134,75.8207,https://artandculture.rajasthan.gov.in,Theatre and cultural venue used for festivals and performances.,"Performing Arts, Culture",government
Hawa Mahal Cultural Programming Space,Jaipur,Rajasthan,"Hawa Mahal, J.D.A. Market, Kanwar Nagar, Jaipur",302002,26.924,75.8267,https://rajasthan.gov.in,Heritage venue occasionally used for cultural programming.,Culture,"heritage-building, government, limited-access"
Shilpgram,Udaipur,Rajasthan,Udaipur,,24.5854,73.7125,https://westzoneculturecentre.gov.in,Crafts village and cultural hub hosting festivals and exhibitions.,"Culture, Arts","craft, government, outdoor-venue"
3AM Art House,Ahmedabad,Gujarat,"A/39, Ground Floor, Celebration City Center, South Bopal, Ahmedabad",380058,23.0236,72.4712,https://3amarthouse.com,"Community-friendly art house for workshops, student showcases, and creative learning for different age groups.","Arts, Community, Education",children
Cholamandal Artists' Village,Chennai,Tamil Nadu,"Injambakkam / East Coast Road area, Chennai",,12.9164,80.2505,https://cholamandalartistvillage.com,"India's largest self-supporting artists' village, with galleries, resident artistic community, and open-air theatre for discussions and conferences.","Arts, Community, Culture","residency, outdoor-venue, studios"
DakshinaChitra Museum,Chennai,Tamil Nadu,"ECR Road, Chennai",,12.9245,80.2511,https://dakshinachitra.net,Living heritage museum with workshops and cultural festivals.,"Culture, Education","heritage-building, craft"
Kalakshetra Foundation,Chennai,Tamil Nadu,"Thiruvanmiyur, Chennai",,12.983,80.2594,https://kalakshetra.in,Campus for classical dance and music with regular performances.,"Performing Arts, Education",government
Kerala Kalamandalam Fort Kochi Centre,Kochi,Kerala,Fort Kochi,,9.9658,76.2421,https://keralasangeethanatakakademi.in,"Outreach and cultural centre connecting traditional Kerala arts with schools, workshops, and weekend performances.","Performing Arts, Culture, Education",
Kochi-Muziris Biennale Pavilion Spaces,Kochi,Kerala,Fort Kochi,,9.9658,76.2421,https://kochimuzirisbiennale.org,Network of exhibition venues activated during the biennale and residencies.,"Arts, Community","limited-access, residency"
Durbar Hall Art Gallery,Kochi,Kerala,Kochi,,9.9312,76.2673,https://kochi.biennale.org,State gallery used for exhibitions and cultural programmes.,"Arts, Culture",government
Serendipity Arts Foundation,Panaji,Goa,"Campal, Panaji",403001,15.4936,73.8192,https://serendipityarts.org,Cultural organisation behind the Serendipity Arts Festival; runs year-round arts initiatives and collaborations.,"Arts, Culture, Community",
Museum of Goa,Pilerne,Goa,Pilerne Industrial Estate,403511,15.5277,73.7919,https://museumofgoa.com,"Contemporary art museum with workshops, talks, and community art programming.","Arts, Community, Education",
Bharat Bhavan,Bhopal,Madhya Pradesh,"Shamla Hills, Bhopal",,23.241,77.3855,https://bharatbhavan.org,"Landmark multi-arts complex with museums, theatre, and artist residencies.","Arts, Culture, Performing Arts","government, residency"
Ravindra Bhavan,Bhopal,Madhya Pradesh,Bhopal,,23.2599,77.4126,https://mp.gov.in,Cultural centre used for exhibitions and performing arts.,"Culture, Performing Arts",government
Lalit Kala Akademi Regional Centre,Chennai,Tamil Nadu,"Greams Road, Thousand Lights, Chennai",600006,13.0614,80.2546,https://lalitkala.gov.in,Government-run contemporary art centre and gallery with exhibitions and workshops.,"Arts, Culture","lalit-kala-akademi, government"
Lalit Kala Akademi Regional Centre,Bhubaneswar,Odisha,Bhubaneswar,,20.296,85.8246,https://lalitkala.gov.in,"National academy gallery hosting exhibitions, artists' events, and artist development.","Arts, Culture","lalit-kala-akademi, government"
Lalit Kala Akademi Regional Centre,Lucknow,Uttar Pradesh,Lucknow,,26.8467,80.9462,https://lalitkala.gov.in,Public art gallery and workshop space.,"Arts, Culture","lalit-kala-akademi, government"
Lalit Kala Akademi Regional Centre,Kolkata,West Bengal,Kolkata,,22.5744,88.3629,https://lalitkala.gov.in,Art exhibitions and cultural programming.,"Arts, Culture","lalit-kala-akademi, government"
Lalit Kala Akademi — Garhi Artists' Studios,New Delhi,Delhi,"Garhi Village, East of Kailash, New Delhi",110065,28.557,77.2513,https://lalitkala.gov.in,Artist residency and studios supporting contemporary art practice.,Arts,"lalit-kala-akademi, government, residency, studios"
Heritage Transport Museum,Gurugram,Haryana,"Tauru Road, Gurugram",,28.2604,76.916,https://heritagetransportmuseum.org,Museum with interactive exhibits and education programmes.,"Education, Culture",
Ravindra Bhavan,Guwahati,Assam,Guwahati,,26.1158,91.7086,https://assam.gov.in,State cultural centre used for theatre and public events.,"Performing Arts, Culture",government
Shilpgram,Guwahati,Assam,"Panjabari Road, Guwahati",,26.1336,91.8247,https://wzculturecentre.gov.in,Crafts and cultural complex hosting festivals and exhibitions.,"Culture, Arts","craft, government, outdoor-venue"
Kalagram,Chandigarh,Chandigarh,"Manimajra, Sector 13",,30.7202,76.8375,https://northzoneculturecentre.gov.in,"Cultural complex hosting festivals, exhibitions, and craft fairs.","Culture, Arts","craft, government, outdoor-venue"
American Center,New Delhi,Delhi,"KG Marg, New Delhi",110001,28.6229,77.2254,https://in.usembassy.gov,"Cultural space hosting talks, exhibitions, and community events.","Culture, Community",american-center
American Center,Kolkata,West Bengal,"Ho Chi Minh Sarani, Kankaria Estates, Park Street area, Kolkata",700071,22.5472,88.3509,https://in.usembassy.gov,"Public programming space for lectures, arts, and cultural exchange.","Culture, Community",american-center
